Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
-4.094111  | 712.860535  | 672.082947  | -11.764394  | 672.082947  | 655.543701  | 290
-7.273185  | 707.339966  | 680.396912  | -7.742157  | 680.396912  | 657.372253  | 291
-10.454931  | 701.853821  | 688.898315  | -3.714080  | 688.898315  | 657.919739  | 292
-13.489059  | 696.674011  | 697.484375  | 0.232147  | 697.484375  | 657.239807  | 293
-16.263117  | 691.995117  | 706.060913  | 4.032880  | 706.060913  | 655.503357  | 294
-18.721394  | 687.903320  | 714.563110  | 7.660257  | 714.563110  | 652.924194  | 295
-20.852381  | 684.403870  | 722.955688  | 11.113857  | 722.955688  | 649.699280  | 296
-22.668133  | 681.460693  | 731.223511  | 14.407349  | 731.223511  | 645.985474  | 297
-24.189592  | 679.024292  | 739.362183  | 17.559109  | 739.362183  | 641.900696  | 298
-25.439041  | 677.044922  | 747.372375  | 20.587479  | 747.372375  | 637.531555  | 299
-26.437002  | 675.478638  | 755.256836  | 23.508865  | 755.256836  | 632.942139  | 300
-27.201305  | 674.288208  | 763.018860  | 26.337219  | 763.018860  | 628.180298  | 301
-27.747080  | 673.443054  | 770.661560  | 29.084085  | 770.661560  | 623.282593  | 302
-28.087091  | 672.918701  | 778.187744  | 31.758841  | 778.187744  | 618.277527  | 303
-28.232157  | 672.695496  | 785.599487  | 34.368984  | 785.599487  | 613.187622  | 304
-28.191544  | 672.757935  | 792.898926  | 36.920391  | 792.898926  | 608.031494  | 305
-27.973331  | 673.093933  | 800.087402  | 39.417549  | 800.087402  | 602.824463  | 306
-27.584703  | 673.694092  | 807.166321  | 41.863739  | 807.166321  | 597.579529  | 307
-27.032194  | 674.550903  | 814.136963  | 44.261196  | 814.136963  | 592.308228  | 308
